GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031010501,-103.0,9670.0,286.0,142400.0,368.0,33427.0,43097.0,3.1003401674701503
17031010502,-406.0,10162.0,245.0,-23600.0,227.0,30330.0,40492.0,0.5597524305281775
17031010503,346.0,-1062.0,127.0,-205000.0,-219.0,18250.0,17188.0,-5.597090869897829
17031010600,-174.0,9508.0,233.0,-39600.0,731.0,47610.0,57118.0,1.2302135462004737
17031010702,-293.0,4475.0,339.0,-57100.0,138.0,43304.0,47779.0,-0.2990025859268526
17031020400,160.0,21021.0,255.0,-4100.0,329.0,44755.0,65776.0,1.0584726131710633
17031020500,932.0,10097.0,240.0,-14900.0,147.0,31576.0,41673.0,-1.4481915826519511
17031020601,77.0,17284.0,367.0,-47300.0,1054.0,37260.0,54544.0,2.6853183525854534
17031020901,-304.0,1928.0,184.0,-79500.0,595.0,42725.0,44653.0,-0.23313857446317643
17031020902,-264.0,-4267.0,226.0,-22200.0,118.0,46739.0,42472.0,-0.9227936925521494
17031030300,946.0,13666.0,249.0,11300.0,432.0,34960.0,48626.0,-0.0592228811090979
17031030603,302.0,13833.0,201.0,27500.0,252.0,27927.0,41760.0,0.4265368829988401
17031030701,-427.0,3788.0,263.0,-16600.0,-124.0,40587.0,44375.0,-0.5687175331790046
17031030703,364.0,15136.0,414.0,-53400.0,148.0,28333.0,43469.0,-0.1422641758962896
17031031200,141.0,11949.0,321.0,-13200.0,587.0,17727.0,29676.0,1.3258362858950754
17031031501,309.0,23202.0,295.0,41300.0,555.0,19317.0,42519.0,2.4262752736950084
17031031502,-194.0,7590.0,250.0,-1700.0,226.0,26611.0,34201.0,0.4350350704652951
17031031700,-91.0,24505.0,439.0,5900.0,1021.0,45183.0,69688.0,4.397324706609519
17031032100,-49.0,23917.0,344.0,-20700.0,-41.0,40795.0,64712.0,0.6992782364571679
17031061800,386.0,17822.0,451.0,68100.0,270.0,46601.0,64423.0,2.2773049425584655
17031080400,18.20259982280913,25825.90039715272,440.1019613234351,41950.52210307645,503.3303546879297,18018.09960284728,43844.0,3.4996715682206254
17031081000,594.0,23940.0,616.0,-7800.0,899.0,45439.0,69379.0,3.616597951869353
17031140100,-382.0,19987.0,389.0,35200.0,514.0,35013.0,55000.0,3.401208319200363
17031140200,76.0,23381.0,337.0,-72200.0,730.0,41821.0,65202.0,1.72993232954992
17031140400,-997.0,28923.0,76.0,-43300.0,650.0,45208.0,74131.0,2.717885763806696
17031140500,-278.0,27470.0,364.0,4000.0,528.0,47113.0,74583.0,3.2063627884966133
17031140601,-247.0,20433.0,163.0,34800.0,102.0,45817.0,66250.0,1.1834439822675442
17031140602,-447.0,32866.0,279.0,-16900.0,476.0,39009.0,71875.0,2.9871358560376
17031140701,737.0,33219.0,384.0,-16400.0,145.0,42366.0,75585.0,0.9093254000570489
17031140702,272.0,16718.0,226.0,-25500.0,650.0,38850.0,55568.0,1.0282022044730936
17031150200,6.0,23456.0,249.0,-9700.0,1130.0,46425.0,69881.0,3.4400199002106446
17031150402,-182.0,39005.0,163.0,-17800.0,267.0,46563.0,85568.0,1.9493293074869837
17031151001,-503.0,36341.0,36.0,-56300.0,266.0,40222.0,76563.0,1.1201671417825072
17031151002,372.0,21825.0,322.0,-6200.0,329.0,47625.0,69450.0,1.0634551947741142
17031151100,560.0,27805.0,238.0,-30300.0,101.0,38313.0,66118.0,-0.13251688667982955
17031160300,-496.0,26423.0,304.0,-5700.0,276.0,39915.0,66338.0,2.3843744954105337
17031160501,-54.0,30251.0,260.0,-83800.0,410.0,40096.0,70347.0,1.0150601664821408
17031160601,777.0568508853848,25930.62987381455,424.0642683203009,-43720.94871918834,517.4995381597128,42161.37012618545,68092.0,1.1303586890386534
17031160800,476.0,24948.0,347.0,-7700.0,346.0,45087.0,70035.0,1.2467832615438634
17031161300,-627.0,3753.0,114.0,-34200.0,276.0,47143.0,50896.0,-0.12587331236171836
17031190100,8.0,13804.0,32.0,-30200.0,234.0,34583.0,48387.0,-0.7782389658262708
17031190200,-101.0,21549.0,327.0,-19400.0,336.0,41829.0,63378.0,1.5617502389564697
17031190300,231.0,18690.0,114.0,-37900.0,192.0,45174.0,63864.0,-0.65475726229963
17031190402,-86.0,17528.0,247.0,-59800.0,209.0,40528.0,58056.0,0.007075331517126658
17031190602,522.0,16112.0,298.0,-62300.0,301.0,45216.0,61328.0,-0.5250871259974164
17031190701,-322.0,8143.0,142.0,-76500.0,65.0,47778.0,55921.0,-1.3386286283714468
17031190702,373.0,3982.0,279.0,-169700.0,22.0,42018.0,46000.0,-3.504129809598741
17031190800,-500.0,15589.0,141.0,-28800.0,110.0,42623.0,58212.0,0.21593606227197584
17031190900,56.0,13221.0,219.0,-31100.0,-66.0,45529.0,58750.0,-0.8933200476864123
17031191000,372.0,22563.0,18.0,-32700.0,129.0,37263.0,59826.0,-1.102366070763134
17031191100,-1320.0,16078.0,115.0,-44600.0,-10.0,36472.0,52550.0,0.7509399919422247
17031191200,441.0,18240.0,271.0,19600.0,14.0,32885.0,51125.0,0.06707575709100733
17031191301,-733.0,31513.0,155.0,-18700.0,-83.0,42315.0,73828.0,1.2763124812157849
17031191302,-112.0,18569.0,357.0,-32700.0,178.0,38855.0,57424.0,0.8985863399528565
17031200100,-588.0,10920.0,204.0,-28400.0,384.0,47549.0,58469.0,1.0360418072623288
17031200200,-775.0,9799.0,110.0,-57100.0,241.0,47344.0,57143.0,0.02707774906531167
17031200300,-54.0,19818.0,290.0,-86900.0,222.0,35125.0,54943.0,-0.07395299868322913
17031200402,863.0,28225.0,165.0,-53400.0,418.0,37420.0,65645.0,-0.35154161326699374
17031210400,-417.0,8177.0,285.0,-29100.0,30.0,39167.0,47344.0,0.015979849873309138
17031210501,-1235.0,15710.0,324.0,9000.0,471.0,35581.0,51291.0,3.5582163991251154
17031210502,-540.0,21926.0,293.0,20400.0,580.0,42067.0,63993.0,3.2976365060817576
17031210601,-7.0,35871.0,231.0,62600.0,794.0,42238.0,78109.0,4.367820109770399
17031210700,-419.0,27700.0,332.0,145800.0,372.0,45586.0,73286.0,4.971687187382568
17031210800,-166.0,18211.0,199.0,91100.0,181.0,45144.0,63355.0,2.11940666733599
17031220602,-224.278533106376,20164.732865053546,503.57370020038354,63344.726465708576,451.45584021029487,36470.26713494646,56635.0,3.927670944498572
17031220701,-518.0,21892.0,530.0,17700.0,370.0,40557.0,62449.0,3.6786258590893355
17031220702,719.0,20478.0,222.0,115400.0,674.0,43116.0,63594.0,2.7676417403607894
17031220901,-37.0,14233.0,333.0,-300.0,383.0,42083.0,56316.0,1.429909902399853
17031220902,-125.0,27811.0,279.0,95900.0,366.0,33925.0,61736.0,3.581667685652871
17031221000,-273.0,46226.0,257.0,53300.0,323.0,37069.0,83295.0,4.145321378458058
17031221100,-1065.0,34773.0,367.0,24700.0,919.0,40158.0,74931.0,6.147109421020382
17031221300,90.0,31972.0,456.0,207600.0,528.0,38737.0,70709.0,6.378873130786619
17031221400,241.0,44438.0,524.0,86300.0,1096.0,39625.0,84063.0,6.964137698893239
17031221500,-231.0,25766.0,320.0,175200.0,634.0,40000.0,65766.0,5.654973011614146
17031222500,116.1648460304209,64631.76217457977,425.7177332930721,162426.41550767625,489.2558008727213,37729.23782542023,102361.0,7.55430195753686
17031222600,82.0,42586.0,443.0,70100.0,407.0,35174.0,77760.0,4.66755853763996
17031222700,-661.0,24283.0,337.0,15900.0,418.0,43000.0,67283.0,3.315047040657238
17031222800,224.0,55034.0,406.0,-91100.0,220.0,17091.0,72125.0,2.2348697911382853
17031222900,-540.0,32639.0,407.0,21300.0,15.0,38216.0,70855.0,2.9978903896364555
17031230100,153.0,30149.0,394.0,175100.0,529.0,46101.0,76250.0,5.429445676519218
17031230300,37.0,7964.0,228.0,-41000.0,109.0,38911.0,46875.0,-0.8526737697813578
17031230400,-303.77288230766044,19125.479769098223,195.3810465552164,53433.15140511014,280.6161427617198,38074.52023090178,57200.0,2.0643563442166015
17031230500,-430.2491298635555,9052.878515755034,-162.1841399782146,-31337.184126189968,210.66107520697133,26554.121484244966,35607.0,-1.3679038118413083
17031230600,417.249129863556,8463.121484244963,129.1841399782146,-55562.81587381003,277.3389247930287,35064.87851575504,43528.0,-1.552130329262493
