GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_2010_on_2020,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031010501,-103.0,9670.0,740.0,286.0,142400.0,368.0,33427.0,43097.0,2.966478848769936
17031010502,-406.0,10162.0,759.0,245.0,-23600.0,227.0,30330.0,40492.0,0.47057434423254335
17031010503,346.0,-1062.0,709.0,127.0,-205000.0,-219.0,18250.0,17188.0,-5.6325892248917615
17031010600,-174.0,9508.0,845.0,233.0,-39600.0,731.0,47610.0,57118.0,1.0795056831579082
17031010702,-293.0,4475.0,830.0,339.0,-57100.0,138.0,43304.0,47779.0,-0.32581946663219696
17031020400,160.0,21021.0,944.0,255.0,-4100.0,329.0,44755.0,65776.0,0.9890954649652816
17031020500,932.0,10097.0,902.0,240.0,-14900.0,147.0,31576.0,41673.0,-1.4997934528312142
17031020601,77.0,17284.0,942.0,367.0,-47300.0,1054.0,37260.0,54544.0,2.584403741182031
17031020901,-304.0,1928.0,947.0,184.0,-79500.0,595.0,42725.0,44653.0,-0.39569599618845397
17031020902,-264.0,-4267.0,813.0,226.0,-22200.0,118.0,46739.0,42472.0,-1.0316013997646554
17031030300,946.0,13666.0,810.0,249.0,11300.0,432.0,34960.0,48626.0,-0.1444991823097328
17031030603,302.0,13833.0,712.0,201.0,27500.0,252.0,27927.0,41760.0,0.31933633509022524
17031030701,-427.0,3788.0,664.0,263.0,-16600.0,-124.0,40587.0,44375.0,-0.6181454518116258
17031030703,364.0,15136.0,588.0,414.0,-53400.0,148.0,28333.0,43469.0,-0.09730309158770892
17031031200,141.0,11949.0,493.0,321.0,-13200.0,587.0,17727.0,29676.0,1.2422702386837001
17031031501,309.0,23202.0,569.0,295.0,41300.0,555.0,19317.0,42519.0,2.3411069955679116
17031031502,-194.0,7590.0,630.0,250.0,-1700.0,226.0,26611.0,34201.0,0.341795274240506
17031031700,-91.0,24505.0,651.0,439.0,5900.0,1021.0,45183.0,69688.0,4.329513208892147
17031032100,-49.0,23917.0,830.0,344.0,-20700.0,-41.0,40795.0,64712.0,0.7287086848620892
17031061800,386.0,17822.0,928.0,451.0,68100.0,270.0,46601.0,64423.0,2.291516301034308
17031080400,18.20259982280913,25825.90039715272,374.8980386765649,440.1019613234351,41950.52210307645,503.3303546879297,18018.09960284728,43844.0,3.4926947672641853
17031140100,-382.0,19987.0,865.0,389.0,35200.0,514.0,35013.0,55000.0,3.348272220351807
17031140200,76.0,23381.0,806.0,337.0,-72200.0,730.0,41821.0,65202.0,1.6750368617030762
17031140400,-997.0,28923.0,921.0,76.0,-43300.0,650.0,45208.0,74131.0,2.515084518305029
17031140500,-278.0,27470.0,803.0,364.0,4000.0,528.0,47113.0,74583.0,3.1655735963976745
17031140601,-247.0,20433.0,894.0,163.0,34800.0,102.0,45817.0,66250.0,1.0728097663187002
17031140602,-447.0,32866.0,940.0,279.0,-16900.0,476.0,39009.0,71875.0,2.9225085669296744
17031140701,737.0,33219.0,830.0,384.0,-16400.0,145.0,42366.0,75585.0,0.9703970487242132
17031140702,272.0,16718.0,860.0,226.0,-25500.0,650.0,38850.0,55568.0,0.9042337267285251
17031150200,6.0,23456.0,845.0,249.0,-9700.0,1130.0,46425.0,69881.0,3.266800081908775
17031150402,-182.0,39005.0,941.0,163.0,-17800.0,267.0,46563.0,85568.0,1.8708582590425422
17031151002,372.0,21825.0,783.0,322.0,-6200.0,329.0,47625.0,69450.0,1.0355914578321896
17031151100,560.0,27805.0,846.0,238.0,-30300.0,101.0,38313.0,66118.0,-0.1501213723829143
17031160300,-496.0,26423.0,787.0,304.0,-5700.0,276.0,39915.0,66338.0,2.341394758804352
17031160501,-54.0,30251.0,925.0,260.0,-83800.0,410.0,40096.0,70347.0,0.975696470695967
17031160601,777.0568508853848,25930.62987381455,878.9357316796991,424.0642683203009,-43720.94871918834,517.4995381597128,42161.37012618545,68092.0,1.1599467045735832
17031161300,-627.0,3753.0,852.0,114.0,-34200.0,276.0,47143.0,50896.0,-0.3021018771256355
17031190100,8.0,13804.0,804.0,32.0,-30200.0,234.0,34583.0,48387.0,-0.9577498345881643
17031190200,-101.0,21549.0,903.0,327.0,-19400.0,336.0,41829.0,63378.0,1.5277218500813736
17031190300,231.0,18690.0,771.0,114.0,-37900.0,192.0,45174.0,63864.0,-0.7699545023087878
17031190402,-86.0,17528.0,849.0,247.0,-59800.0,209.0,40528.0,58056.0,-0.045379351872353355
17031190602,522.0,16112.0,867.0,298.0,-62300.0,301.0,45216.0,61328.0,-0.5503965365999477
17031190702,373.0,3982.0,862.0,279.0,-169700.0,22.0,42018.0,46000.0,-3.494632769639355
17031190800,-500.0,15589.0,947.0,141.0,-28800.0,110.0,42623.0,58212.0,0.09842858072827881
17031190900,56.0,13221.0,746.0,219.0,-31100.0,-66.0,45529.0,58750.0,-0.938451879313554
17031191000,372.0,22563.0,846.0,18.0,-32700.0,129.0,37263.0,59826.0,-1.249323416604164
17031191100,-1320.0,16078.0,876.0,115.0,-44600.0,-10.0,36472.0,52550.0,0.6216526560996491
17031191200,441.0,18240.0,863.0,271.0,19600.0,14.0,32885.0,51125.0,0.04048710543644424
17031191302,-112.0,18569.0,843.0,357.0,-32700.0,178.0,38855.0,57424.0,0.8987009300940973
17031200100,-588.0,10920.0,784.0,204.0,-28400.0,384.0,47549.0,58469.0,0.9042315496093607
17031200300,-54.0,19818.0,817.0,290.0,-86900.0,222.0,35125.0,54943.0,-0.09230854334916982
17031200402,863.0,28225.0,801.0,165.0,-53400.0,418.0,37420.0,65645.0,-0.43156339772863583
17031210400,-417.0,8177.0,831.0,285.0,-29100.0,30.0,39167.0,47344.0,-0.029592168005247665
17031210501,-1235.0,15710.0,850.0,324.0,9000.0,471.0,35581.0,51291.0,3.4573255200132866
17031210502,-540.0,21926.0,848.0,293.0,20400.0,580.0,42067.0,63993.0,3.1918370174744624
17031210601,-7.0,35871.0,938.0,231.0,62600.0,794.0,42238.0,78109.0,4.228288618007226
17031210700,-419.0,27700.0,931.0,332.0,145800.0,372.0,45586.0,73286.0,4.8856991270393335
17031220602,-224.278533106376,20164.732865053546,761.4262997996165,503.57370020038354,63344.726465708576,451.45584021029487,36470.26713494646,56635.0,3.936245424609768
17031220701,-518.0,21892.0,852.0,530.0,17700.0,370.0,40557.0,62449.0,3.7220401381541066
